0,05	32	19	22	22
0,15	33	15	16	25
0,25	39	9	14	26
0,35	24	27	19	28
0,45	29	23	26	26
0,55	30	20	20	33
0,65	37	20	28	33
0,75	31	24	25	21
0,85	36	21	24	27
0,95	38	29	25	29
1,05	39	23	34	24
1,15	779	189	19	254
1,25	977	242	23	300
1,35	928	221	22	307
1,45	935	230	27	276
1,55	884	227	35	313
1,65	972	217	45	444
1,75	917	204	63	472
1,85	931	202	61	417
1,95	934	179	63	429
2,05	880	201	59	405
2,15	844	208	49	409
2,25	823	167	51	375
2,35	805	184	63	384
2,45	810	159	49	347
2,55	776	154	50	373
2,65	768	185	55	365
2,75	764	157	63	329
2,85	737	158	43	325
2,95	721	158	55	339
3,05	693	146	64	336
3,15	695	173	62	343
3,25	693	155	78	320
3,35	637	173	63	324
3,45	607	145	70	327
3,55	580	152	74	293
3,65	587	156	49	341
3,75	555	176	52	318
3,85	517	164	62	273
3,95	515	163	69	332
4,05	557	137	60	336
4,15	492	142	75	318
4,25	480	163	54	315
4,35	428	158	69	286
4,45	484	152	76	285
4,55	428	140	69	287
4,65	432	154	54	314
4,75	479	147	65	275
4,85	413	147	72	288
4,95	414	151	93	272
5,05	406	167	87	284
5,15	387	173	72	283
5,25	404	187	65	292
5,35	431	156	75	256
5,45	359	167	98	255
5,55	368	149	97	309
5,65	387	168	93	260
5,75	371	153	82	246
5,85	355	157	100	269
5,95	338	150	87	250
6,05	363	168	88	241
6,15	329	140	84	242
6,25	319	182	71	216
6,35	325	134	84	227
6,45	323	202	87	222
6,55	324	154	83	236
6,65	318	159	77	206
6,75	288	161	88	212
6,85	307	180	66	248
6,95	303	154	73	226
7,05	297	142	82	215
7,15	270	159	73	228
7,25	240	169	82	198
7,35	291	180	70	177
7,45	264	184	79	208
7,55	242	169	70	199
7,65	256	161	67	197
7,75	239	179	67	187
7,85	241	163	74	185
7,95	227	151	75	210
8,05	202	137	86	184
8,15	232	149	68	180
8,25	210	143	67	166
8,35	213	152	67	185
8,45	226	128	67	167
8,55	213	155	61	182
8,65	201	147	65	177
8,75	205	152	74	168
8,85	196	133	69	174
8,95	176	133	70	133
9,05	192	124	48	169
9,15	177	125	54	153
9,25	177	142	49	164
9,35	175	147	61	136
9,45	148	136	59	151
9,55	161	150	64	148
9,65	154	149	64	172
9,75	140	132	54	142
9,85	162	111	55	135
9,95	140	122	50	129
