0,05	351	301	256	263
0,15	354	298	293	277
0,25	380	291	279	256
0,35	397	311	277	240
0,45	409	310	271	252
0,55	408	346	231	248
0,65	419	337	290	276
0,75	377	319	270	267
0,85	377	338	275	262
0,95	453	335	294	237
1,05	418	306	309	277
1,15	578	384	275	338
1,25	652	381	273	327
1,35	606	396	288	324
1,45	634	393	288	313
1,55	540	434	305	368
1,65	658	375	342	352
1,75	604	410	355	410
1,85	647	401	364	390
1,95	597	338	379	354
2,05	605	383	339	378
2,15	567	401	348	336
2,25	563	376	311	366
2,35	534	343	307	316
2,45	506	323	270	313
2,55	505	326	261	306
2,65	522	259	272	342
2,75	509	320	282	301
2,85	484	289	270	318
2,95	468	294	281	267
3,05	474	287	243	256
3,15	456	285	231	270
3,25	424	273	241	271
3,35	420	239	223	298
3,45	420	239	245	247
3,55	365	240	207	244
3,65	373	257	240	261
3,75	365	243	223	242
3,85	343	261	183	249
3,95	301	236	192	253
4,05	323	219	207	238
4,15	293	216	188	225
4,25	308	225	199	210
4,35	276	205	161	225
4,45	325	181	187	193
4,55	278	207	191	194
4,65	265	202	176	201
4,75	243	166	152	168
4,85	261	189	172	195
4,95	268	182	155	185
5,05	235	183	159	176
5,15	227	201	154	189
5,25	217	160	163	189
5,35	218	178	147	183
5,45	226	168	151	156
5,55	216	168	135	147
5,65	176	161	145	137
5,75	196	152	134	136
5,85	197	171	145	141
5,95	196	160	134	146
6,05	172	163	134	116
6,15	191	129	119	114
6,25	160	144	116	127
6,35	154	133	154	128
6,45	159	161	107	139
6,55	168	120	112	124
6,65	147	141	119	109
6,75	157	145	113	133
6,85	141	137	106	117
6,95	132	131	107	115
7,05	134	145	102	122
7,15	123	141	115	114
7,25	149	124	111	115
7,35	126	125	101	118
7,45	118	131	84	96
7,55	125	117	117	101
7,65	118	126	84	86
7,75	91	116	98	81
7,85	113	111	118	96
7,95	100	94	97	71
8,05	106	95	60	88
8,15	83	104	96	95
8,25	93	117	83	68
8,35	109	109	98	91
8,45	69	97	82	78
8,55	87	102	85	71
8,65	69	107	96	79
8,75	83	78	73	61
8,85	82	99	89	67
8,95	62	89	82	77
9,05	79	95	86	63
9,15	64	87	84	83
9,25	69	93	84	66
9,35	67	79	63	52
9,45	57	88	69	69
9,55	68	75	68	53
9,65	60	83	69	50
9,75	55	97	61	60
9,85	68	72	76	57
9,95	53	82	78	53
